course_type,institute_tier,tier,region,is_metro,cgpa,graduation_year_offset,backlogs_count,paper_publications,semester_consistency,internship_count,internship_total_months,internship_top_tier,internship_relevance_score,certifications_count,relevant_certs_count,github_projects,github_stars_total,coding_problem_count,hackathon_wins,languages_known,leadership_roles_count,soft_skills_score,communication_score,extracurriculars_count,portal_activity_30d,portal_activity_90d,interview_invites_count,interview_pass_rate,resume_updates_30d,mock_interviews_taken,avg_response_time_hours,last_login_days_ago,institute_placement_rate_3m,institute_placement_rate_6m,institute_placement_rate_12m,institute_recruiter_diversity,institute_avg_salary_lpa,placement_cell_active_score,recruiter_visits_year,sector_hiring_index,local_job_density,macro_unemployment_rate,course_demand_index,skill_gap_score,salary_expectation_lpa,has_target_company_referral,competitive_exam_attempted,nirf_rank,nirf_score,nirf_median_salary_lpa,t_placed_months,placed_3m,placed_6m,placed_12m,final_salary_lpa
MCA,2,2,Tier2,0,6.636181958294376,1,0,0,0.6368812804993528,2,8.926373395100196,1,0.5675019544449859,3,1,5,7.53135949746344,166,1,4,1,0.7778428952724007,0.7674883784076163,2,11,26,4,0.07184304838694824,2,1,3.980283363795719,0.6142971518555153,0.3403815571954685,0.4757552185647417,0.6746410996919675,0.23216640010200246,8.56040204985263,0.22563424384785316,29,1.1395402641103207,23.631335825411426,6.702119516526642,1.1395402641103207,0.3591598848064057,7.900613643839761,0,0,62.72010766126606,53.99880480129272,11.041312762710044,2.4504753389942637,1,1,1,7.016453273445465
MBA-Finance,1,1,Metro,1,7.9496728880214125,-2,0,0,0.8046184070905767,0,0.0,0,0.24643041919154607,6,3,2,24.163607564119836,51,0,4,0,0.7353867209996916,0.9109050974238097,4,60,131,5,0.09483187948087857,3,5,4.56661205271952,3.0835289660571705,0.5125132228095147,0.7197925057843821,0.8932965830482265,0.5216617369711963,14.875136815811066,0.43123879565443635,72,0.9217514245084949,79.44254374680277,8.734648289029193,0.9217514245084949,0.20467953740320957,10.549276183043794,0,1,21.453572240212175,78.15772935891638,24.63124768474769,2.1509355437512188,1,1,1,17.462148514457745
MTech-CS,2,2,Tier3,0,7.611088011249692,-2,0,0,0.9554077757908395,1,2.752105028582265,0,0.9080774457081807,6,4,8,148.22956899351152,197,1,2,1,0.6671475621050132,0.3519366164485974,4,48,100,6,0.3062994981294701,0,4,7.875817804960912,0.84092533787977,0.2379834440350362,0.42037603334537843,0.6101922549040236,0.27346359291058225,7.649116321467539,0.5654193189564495,21,1.1837450337306787,14.428761497624386,6.352337956385534,1.1837450337306787,0.11228740707790141,10.951010469742865,0,0,85.85273034052479,60.60467088873899,10.959210052216743,14.0,0,0,0,
BSc-Nursing,3,3,Metro,1,7.483443136448041,-1,0,0,0.8085230160471141,2,9.967990202049002,0,0.6632946576457378,2,1,4,30.063260928126407,44,0,3,0,0.866381454214426,0.7184891300804322,1,19,51,3,0.47070561737939515,1,2,2.9614111444469673,6.198851174533365,0.11808772299363351,0.30891034925118194,0.4923157221473514,0.6301224062575876,4.542187882931876,0.31130642327049,11,1.248216308953909,103.63209147267337,9.036194118470888,1.248216308953909,0.2709163483193055,4.616275207231842,0,0,199.24832869012909,39.77000018083609,3.3733339200223162,4.425511779046538,0,1,1,2.4453326441331606
BTech-CS,2,2,Metro,1,8.041225327620907,-2,1,0,0.6133627428837715,2,8.572279669469323,0,0.5245805946170077,6,3,2,2.511821107113428,180,0,5,3,0.9888573628796012,0.6022930835425298,2,60,165,7,0.8504841321923107,1,3,4.029397277880715,5.951748940329655,0.25762573564055946,0.46326764967680767,0.6327525362239454,0.10133558172723538,7.470065771201125,0.3135747308391181,22,1.343148096434509,95.19271978760287,8.554711304594171,1.343148096434509,0.15093426329065185,10.318704407566191,0,0,89.58963810970445,48.17308665444142,14.352590445735249,5.157392543314422,0,1,1,7.389600316228775
BCom,2,2,Tier2,0,7.4634251262579525,0,0,0,0.9064049867931476,1,1.944836744220281,1,0.9455487090246008,2,1,0,0.0,65,0,5,0,0.6010825509061504,0.30426176797947546,1,24,60,6,0.18100576723386005,3,2,17.89870535193443,0.3034077015215033,0.37894260769670735,0.5282393775006236,0.6958619296217614,0.7908855591563817,8.112575443610517,0.17177984822144457,22,0.8837282864117658,58.097613547589184,8.603523827322562,0.8837282864117658,0.5615441196478222,4.820757498804167,0,1,53.46356102868242,52.46795488882036,8.84865150109312,3.1352331241407487,0,1,1,4.903544891638642
MCA,2,2,Metro,1,7.25006117913778,-1,0,0,0.8990675144711374,0,0.0,1,0.1458259271707504,1,1,4,45.37563698089066,202,0,5,0,0.9364058615616779,0.4216481114015232,4,18,38,0,0.19020918835033,0,3,5.558634342565914,0.23184069389108375,0.28228653015410204,0.5192673513201257,0.6107523017974624,0.8884092727535168,8.864190844518806,0.703445319144318,28,1.0471627464990938,101.31104774617636,7.640090184875366,1.0471627464990938,0.20703123669613827,6.130069859903745,0,1,92.7697070094479,61.479659723960665,11.711368112025808,3.5876997970752,0,1,1,6.736220617335053
MCA,3,3,Tier2,0,6.307961590620108,-1,2,1,0.9423701445376207,1,2.977609359972149,0,0.46110124528841356,1,0,7,11.025855222113556,166,1,3,1,0.8917637801353439,0.8259151551557377,1,15,50,0,0.4628510791887361,2,0,13.173889861555738,1.1184709345890644,0.0,0.11802793683515425,0.29519165917101997,0.4791462698997145,5.481313356675332,0.42915862720391995,9,1.2018065776093358,36.62598310261837,7.5556573770894895,1.2018065776093358,0.21452926125008923,6.796113464509158,0,0,203.55409347421693,30.85795583925951,5.371418667129786,14.0,0,0,0,
BTech-CS,2,2,Tier2,0,6.977165215944377,2,0,0,0.8517194280649832,0,0.0,0,0.1663403005984981,2,1,10,130.14758585934192,197,0,2,0,0.6760291181066928,0.7105976693318566,1,11,29,2,0.3373572433450212,1,2,0.6427689231583185,0.6117111257447476,0.2556389740070957,0.4268859144813089,0.5353495094008481,0.3155062440806439,10.205077950928477,0.1847582945066845,22,1.3571015581028674,40.047026457218145,6.44570375176676,1.3571015581028674,0.1940572591370031,11.473329148679941,0,0,40.43771963467203,63.026437417224,8.403166677832663,14.0,0,0,0,
MBA-Finance,2,2,Tier3,0,6.497736075670888,1,2,0,0.8649111013592545,0,0.0,1,0.33878457882745927,1,1,1,6.357870365016353,52,0,4,0,0.8628095996909599,0.2791233541846726,1,24,67,3,0.1231359677009468,1,2,8.41802140121278,0.3569075872271024,0.44960205322794383,0.5691660613648286,0.7259559279967847,0.5021117070850774,7.080626805621252,0.19666554742394768,26,1.122130367208736,24.6713594691246,6.319406121039652,1.122130367208736,0.46927022315419376,11.344464017536675,0,0,68.64326387288774,59.217732471608514,11.73860673358894,4.2773006139180785,0,1,1,12.287928541206004
BTech-Civil,2,2,Tier2,0,6.814386628288791,-2,0,0,0.7288352729454934,0,0.0,0,0.15679610679376546,2,1,2,8.088538538717572,46,1,4,0,0.6353113650234654,0.838851173326819,0,12,26,5,0.2124509694904839,0,2,1.5481308264230784,1.0513861873354449,0.3379004274686281,0.4753154753731284,0.6165813179236799,0.3895373625807182,7.012073156172799,0.37750134550900233,31,0.7077130983897576,52.85649295871568,8.018921704066255,0.7077130983897576,0.12652670107054087,4.068576489126238,1,0,49.61241442164776,51.35719521410073,11.343126093462256,1.9233525312484379,1,1,1,4.101355836128744
BCom,2,2,Tier2,0,7.518443993072305,1,0,0,0.40962463655721554,2,6.6728652118606675,0,0.702573732246576,2,1,1,0.5191290890277515,54,0,4,1,0.6412688503091939,0.6715693631405883,0,47,116,10,0.6156432640493205,0,3,12.866919795846101,0.83529385479845,0.1858977884697998,0.38044717014062535,0.560062554886614,0.6428236888626427,6.038217704157869,0.5700174382120412,32,0.7012892233185534,28.08449966326205,7.745398644130636,0.7012892233185534,0.17724314923031056,4.367541398462484,0,0,66.1140955940311,48.18266123949054,9.164111274555117,4.666721542458775,0,1,1,4.3347819664512395
